Date,COUNTRY_CODE,panic_index,media_hype_index,fake_news_index,sentiment_index,infodemic_index,media_coverage_index,Retornos_BTC,volatilidad,gfi,deaths_per_day,cases_per_day,musk_tweet
2020-03-26,XX,6.25,59.5,1.34,-59.65,59.45,81.68,0.5281211361417012,35.37744140625,0.6455172967808338,6096.0,126150.0,0
2020-03-27,XX,5.42,59.51,1.1,-62.63,61.89,82.12,-3.741337669931112,-246.64208984375,0.6473763308227107,7000.0,130180.0,0
2020-03-28,XX,5.92,59.03,1.11,-65.8,60.01,83.93,-3.581324079079013,-227.6044921875,0.6466649761531295,7710.0,139352.0,0
2020-03-29,XX,7.86,66.2,1.49,-66.34,60.23,80.99,-5.265021330566508,-320.15087890625,0.6413055619317167,7000.0,113332.0,0
2020-03-30,XX,9.21,69.27,1.46,-67.33,63.87,81.45,8.226844860278629,507.798828125,0.6347112314972332,8206.0,130576.0,0
2020-03-30,XX,9.21,69.27,1.46,-67.33,63.87,81.45,8.226844860278629,507.798828125,0.6347112314972332,8206.0,130576.0,0
2020-04-01,XX,4.8,55.95,1.29,-60.37,62.23,81.1,2.5777803165675914,168.1318359375,0.6258648075285271,12098.0,164062.0,0
2020-04-02,XX,5.23,56.45,1.23,-59.1,61.89,81.19,2.788875596596145,186.84814453125,0.620982528627499,11852.0,166060.0,0
2020-04-03,XX,4.94,58.45,1.28,-56.88,62.46,82.59,-0.8906283829348234,-60.2373046875,0.6209054250733104,12496.0,168282.0,0
2020-04-04,XX,5.79,60.11,1.15,-56.76,63.14,81.4,1.9725803844387817,134.14013671875,0.614819250169373,11982.0,117736.0,0
2020-04-05,XX,7.06,66.34,1.51,-57.43,61.29,78.73,-1.1186860819705755,-76.39794921875,0.6061021177786062,10532.0,140158.0,0
2020-04-06,XX,6.66,68.46,1.39,-56.7,61.61,79.84,6.838401551364988,480.65185546875,0.5964431290830978,12000.0,148036.0,0
2020-04-07,XX,4.94,59.18,1.16,-55.74,63.82,81.17,-1.3201383140758696,-95.36669921875,0.5912381748707387,16764.0,138808.0,0
2020-04-08,XX,5.16,57.33,1.38,-60.65,64.06,82.39,2.1734626116209514,157.68408203125,0.5853313311973685,13810.0,166994.0,0
2020-04-09,XX,5.03,56.77,1.02,-56.6,63.25,81.75,-0.4373997983961782,-32.00927734375,0.5846713400804908,15766.0,173290.0,0
2020-04-10,XX,4.53,58.37,1.0,-53.98,64.82,82.95,-6.165264619598333,-436.59619140625,0.5836423726228327,14912.0,170346.0,0
2020-04-11,XX,5.79,62.26,1.32,-52.6,65.26,79.76,-0.0934113612811459,-6.41015625,0.5793067567483816,12634.0,148006.0,0
2020-04-12,XX,6.6,64.54,1.21,-51.93,65.48,79.41,1.6198094339308036,112.0087890625,0.575241290100786,11990.0,237750.0,0
2020-04-13,XX,6.41,63.99,1.16,-51.59,61.93,79.42,-1.8247903368068017,-126.05419921875,0.569524766203112,12198.0,142566.0,0
2020-04-14,XX,4.65,57.9,1.37,-51.47,63.73,80.27,-0.0381350856359287,-2.60986328125,0.5646765966994143,14288.0,167458.0,0
2020-04-15,XX,4.11,56.55,1.19,-56.22,65.23,80.19,-2.97129370766832,-200.31787109375,0.5618636067881897,17174.0,157334.0,0
2020-04-16,XX,4.23,56.0,1.33,-61.54,64.17,81.01,6.902911272643515,474.6943359375,0.5612551953416869,14816.0,188834.0,0
2020-04-17,XX,4.2,55.79,1.11,-65.97,63.28,80.07,-0.2901521095483836,-20.61962890625,0.558532642035837,17144.0,175990.0,0
2020-04-18,XX,4.46,56.62,1.04,-66.77,63.66,80.04,2.2500902000608027,161.48046875,0.5567090918144204,12502.0,153118.0,0
2020-04-19,XX,5.19,61.29,1.32,-66.35,62.79,77.77,-0.9446987957285106,-68.240234375,0.5526571986040772,10758.0,152032.0,0
2020-04-20,XX,5.52,61.16,1.12,-66.41,58.36,79.33,-4.370789261905665,-307.46630859375,0.548452290153289,12138.0,151978.0,0
2020-04-21,XX,4.21,53.99,0.99,-63.53,63.39,79.43,-0.0237642848045661,-1.63525390625,0.5454930666106892,14728.0,151328.0,0
2020-04-22,XX,3.83,54.26,1.02,-58.89,65.32,80.13,3.3849812461733007,236.88427734375,0.5422914052923629,14056.0,164038.0,0
2020-04-23,XX,3.94,53.04,0.93,-50.5,63.65,79.0,4.297334717626114,312.51708984375,0.5416616778272598,13970.0,165426.0,0
2020-04-24,XX,3.8,52.84,0.93,-42.9,63.76,79.93,1.6178084496425684,121.17626953125,0.5417095924982678,13798.0,167042.0,0
2020-04-25,XX,4.14,53.46,0.94,-39.22,64.51,80.73,0.2517739780347506,19.03515625,0.5406628354257544,11776.0,165858.0,1
2020-04-26,XX,4.49,54.28,1.37,-38.49,61.06,74.92,1.4417636083330128,109.93115234375,0.5373692513828784,8504.0,140710.0,0
2020-04-27,XX,5.22,57.88,1.76,-37.98,62.6,78.13,1.495735604802822,115.73388671875,0.5345654195473495,9820.0,141786.0,0
2020-04-28,XX,3.57,51.2,1.11,-34.02,64.0,79.58,0.1468662629901707,11.45751953125,0.5331497276044501,13638.0,151668.0,0
2020-04-29,XX,3.55,51.48,0.94,-34.69,64.79,80.74,11.9841406444289,993.9794921875,0.5319503612584281,13822.0,155300.0,0
2020-04-30,XX,3.44,50.79,0.79,-34.47,65.55,78.5,-1.632197818592355,-142.484375,0.5312216525417801,12090.0,167588.0,0
2020-05-01,XX,3.39,49.1,0.77,-34.46,67.17,79.27,2.353691044657035,206.212890625,0.531869065132877,10920.0,176890.0,1
2020-05-02,XX,3.55,49.39,0.91,-34.81,65.32,81.52,1.3872127279034094,123.830078125,0.5319218030454449,11700.0,156598.0,0
2020-05-03,XX,4.54,50.75,0.88,-35.01,62.39,76.86,-1.0189912204170497,-91.1279296875,0.5296136414855781,7682.0,148180.0,0
2020-05-04,XX,5.65,57.65,1.58,-34.13,61.57,77.25,0.1705271829389974,15.185546875,0.5276838806105455,8900.0,154388.0,0
2020-05-05,XX,3.56,51.32,0.95,-38.02,65.45,77.92,1.0093566989645255,90.416015625,0.5269108594166989,12198.0,159558.0,0
2020-05-06,XX,3.12,49.84,0.69,-32.3,65.44,78.46,2.908412623982488,265.69140625,0.5270066190001482,13728.0,181460.0,0
2020-05-07,XX,3.24,50.05,0.73,-32.29,66.84,78.88,7.107536685466279,682.7568359375,0.5266752458949602,11338.0,177308.0,0
2020-05-08,XX,3.07,47.97,0.59,-29.96,67.67,79.37,-1.0998547172291293,-108.8525390625,0.5276304530954066,11790.0,180760.0,0
2020-05-09,XX,3.45,47.69,0.8,-30.44,66.56,77.44,-2.559949751419353,-248.76953125,0.5273823678183176,9106.0,168114.0,0
2020-05-10,XX,4.94,52.21,0.92,-30.17,63.03,72.71,-9.133874992634656,-837.4658203125,0.5257992628233485,8092.0,150246.0,0
2020-05-11,XX,6.18,58.41,0.75,-31.53,65.85,76.58,-1.7817356616017377,-154.634765625,0.5235337866070967,7788.0,152570.0,0
2020-05-12,XX,3.66,49.35,0.7,-31.47,67.09,77.23,2.32893964825246,202.681640625,0.5230085375569264,11680.0,169966.0,0
2020-05-13,XX,3.24,48.66,0.71,-31.49,65.9,76.53,5.152160673099469,465.509765625,0.5221897987661519,10950.0,168926.0,0
2020-05-14,XX,3.5,48.57,0.64,-31.84,66.28,77.76,4.881430833652742,463.734375,0.5225144314666632,11158.0,190238.0,0
2020-05-15,XX,3.65,48.27,0.78,-32.38,65.71,80.09,-4.255454133663077,-405.5244140625,0.5233629209185999,11268.0,192288.0,1
2020-05-16,XX,3.36,46.84,0.58,-30.53,64.36,76.13,0.5219563387115276,48.81640625,0.523733595194044,9068.0,188068.0,0
2020-05-17,XX,3.18,45.89,1.0,-30.08,56.95,75.03,3.084341466898477,293.7255859375,0.5222633112487705,7156.0,156902.0,0
2020-05-18,XX,4.01,53.11,0.82,-29.8,59.54,75.24,0.5757095071523827,55.8359375,0.5214863996669691,8304.0,177722.0,0
2020-05-19,XX,2.9,47.82,0.58,-24.2,64.53,77.17,0.0253180468027682,2.462890625,0.5209511709944159,10274.0,192986.0,0
2020-05-20,XX,3.14,47.03,0.68,-22.76,62.89,76.61,-2.1407053865041545,-206.056640625,0.5206893393451297,10742.0,210546.0,0
2020-05-21,XX,3.08,47.3,0.75,-19.73,64.29,77.35,-4.743978112005262,-441.2197265625,0.5207733826265726,9910.0,211214.0,0
2020-05-22,XX,3.02,45.61,0.98,-19.78,63.64,77.07,1.1039704675422355,100.8154296875,0.5219311109800912,11376.0,214952.0,0
2020-05-23,XX,3.28,45.82,0.82,-20.95,62.26,76.27,0.2904542937138854,26.7099609375,0.5220297854464033,8744.0,208074.0,0
2020-05-24,XX,3.9,50.74,0.68,-16.51,58.2,71.87,-4.655584805354227,-418.9189453125,0.5210068143791513,6950.0,186284.0,0
2020-05-25,XX,4.2,52.75,0.74,-15.93,58.59,75.54,1.3173543308948166,116.56640625,0.5189253075517655,3044.0,176172.0,0
2020-05-26,XX,3.39,49.93,0.62,-15.04,62.47,72.73,-0.8103063993220552,-71.8818359375,0.518205419939662,9280.0,185886.0,0
2020-05-27,XX,3.11,45.54,0.88,-14.18,63.97,75.54,3.8410971222694656,345.96484375,0.5176582374786458,10738.0,204872.0,0
