,Date,casos_confirmados_global,muertes_global,COUNTRY_CODE,TOTAL_CASES,CASES_DAILY,TOTAL_RECOVERED,RECOVERED_DAILY,TOTAL_DEATHS,DEATHS_DAILY,PANIC_INDEX,MEDIA_HYPE_INDEX,FAKE_NEWS_INDEX,SENTIMENT_INDEX,INFODEMIC_INDEX,MEDIA_COVERAGE_INDEX,Open,High,Low,Close,Adj Close,Volume
25,2020-02-16,142476,3540,XX,71205,2193,10859,1470,1770,104,1.13,8.86,0.3,-33.24,18.78,37.67,9889.1796875,10053.96875,9722.38671875,9934.43359375,9934.43359375,43374780305
26,2020-02-17,146546,3736,XX,73239,2034,12576,1717,1868,98,1.28,10.16,0.22,-30.14,19.63,40.06,9936.560546875,9938.8154296875,9507.6376953125,9690.142578125,9690.142578125,45998298413
27,2020-02-18,150310,4016,XX,75117,1878,14339,1763,2007,139,1.05,11.26,0.28,-32.97,18.24,39.55,9691.23046875,10161.935546875,9632.3828125,10141.99609375,10141.99609375,47271023953
28,2020-02-19,151310,4246,XX,75620,503,16106,1767,2122,115,0.72,10.43,0.2,-37.43,20.0,39.91,10143.798828125,10191.67578125,9611.2236328125,9633.38671875,9633.38671875,46992019710
29,2020-02-20,152432,4496,XX,76178,558,18164,2058,2247,125,0.63,8.77,0.2,-41.53,19.78,36.49,9629.3251953125,9643.216796875,9507.900390625,9608.4755859375,9608.4755859375,44925260237
30,2020-02-21,153692,4504,XX,76822,644,18877,713,2251,4,0.72,8.7,0.17,-39.85,20.63,36.01,9611.7822265625,9723.0146484375,9589.7431640625,9686.44140625,9686.44140625,40930547513
31,2020-02-22,157216,4918,XX,78578,1756,22874,3997,2458,207,1.21,9.96,0.24,-39.88,20.13,35.43,9687.70703125,9698.2314453125,9600.728515625,9663.181640625,9663.181640625,35838025154
32,2020-02-23,157980,4940,XX,78965,387,23379,505,2469,11,1.12,9.27,0.22,-44.17,18.18,36.84,9663.318359375,9937.404296875,9657.791015625,9924.515625,9924.515625,41185185761
33,2020-02-24,159116,5260,XX,79554,589,25209,1830,2629,160,1.58,12.02,0.65,-52.39,20.73,41.22,9921.5830078125,9951.74609375,9537.04296875,9650.1748046875,9650.1748046875,45080496648
34,2020-02-25,160826,5420,XX,80400,846,27887,2678,2708,79,1.62,12.77,0.24,-49.33,22.33,41.51,9651.3125,9652.7373046875,9305.021484375,9341.705078125,9341.705078125,42515259129
